student_id,name,registration_date,gender,branch,city,cgpa,attendance_percent,technical_skills,projects_completed,coding_problems_solved,communication_skill,internship,has_backlog,tech_events_attended,salary_expectation,placed
STU0027,Student 27,2026-03-27,Female,eee,Kanpur,7.88,71.3,8,2,206,8.6,No,No,3,362661,Yes
STU0028,Student 28,2026-04-01,Female,mech,Delhi,6.89,82.4,6,2,0,3.3,Yes,Yes,1,150000,No
STU0029,Student 29,2026-05-02,Male,mech,Noida,7.71,54.1,6,1,274,6.6,Yes,Yes,5,858840,Yes
STU0030,Student 30,2026-06-03,Male,mechanical,,7.48,97.9,5,2,0,7.1,No,No,1,178977,No
STU0031,Student 31,2026-07-04,Female,eee,Noida,7.02,78.8,4,3,215,9.7,No,No,4,354464,No
STU0032,Student 32,2026-08-05,Female,eee,Prayagraj,6.36,88.6,8,0,101,7.0,Yes,No,0,607647,No
STU0033,Student 33,2026-01-06,Female,civil,Jaunpur,8.57,72.5,7,4,419,3.9,No,No,5,186612,Yes
STU0034,Student 34,2026-02-07,Female,civil,Noida,8.09,79.4,3,2,104,4.9,No,No,0,179168,Yes
STU0035,Student 35,2026-03-08,Female,electrical,Jaunpur,7.69,64.7,4,1,106,8.6,No,Yes,2,432640,No
STU0036,Student 36,2026-04-09,Female,it,Varanasi,4.55,98.6,10,2,145,5.7,Yes,Yes,4,475788,No
STU0037,Student 37,2026-05-10,Male,civil,Jaunpur,"5,30",78.3,5,1,380,4.0,Yes,Yes,3,177768,No
STU0038,Student 38,2026-06-11,Female,civil,Lucknow,7.11,52.1,3,5,21,7.5,Yes,No,4,687518,Yes
STU0039,Student 39,2026-07-12,Male,mech,Prayagraj,6.72,69.3,8,0,124,5.2,No,No,0,150000,Yes
STU0040,Student 40,2026-08-13,Female,cse,Varanasi,6.14,63.2,6,1,56,5.9,Yes,No,1,501262,Yes
STU0041,Student 41,2026-01-14,Male,computer science,Noida,7.19,73.1,4,3,168,8.0,Yes,No,2,718809,Yes
STU0042,Student 42,2026-02-15,Female,mechanical,Prayagraj,7.26,83.7,6,1,273,7.5,Yes,No,2,150000,Yes
STU0043,Student 43,2026-03-16,Female,eee,Noida,6.79,63.5,6,4,69,7.5,No,No,2,690119,Yes
STU0044,Student 44,2026-04-17,Male,i.t.,Delhi,6.59,58.1,10,4,204,4.0,Yes,No,1,532459,Yes
STU0045,Student 45,2026-05-18,Male,computer science,Kanpur,7.25,73.2,4,1,29,6.9,No,No,0,769054,No
STU0046,Student 46,2026-06-19,Female,mechanical,Lucknow,6.27,60.8,7,5,206,5.6,No,No,1,618519,No
STU0047,Student 47,2026-07-20,Male,computer science,Lucknow,6.67,96.1,4,4,325,1.2,No,No,2,353243,Yes
STU0048,Student 48,2026-08-21,Female,ece,Prayagraj,6.83,100.0,6,3,561,7.5,Yes,No,3,611286,Yes
STU0049,Student 49,2026-01-22,Male,electrical,Delhi,7.93,62.3,3,3,18,5.3,No,No,0,328263,No
STU0050,Student 50,2026-02-23,Male,electrical,Noida,5.05,75.8,6,6,214,8.2,No,Yes,3,558487,No
STU0051,Student 51,2026-03-24,Male,eee,Kanpur,7.73,54.5,7,4,152,3.7,Yes,No,1,672228,No
STU0052,Student 52,2026-04-25,Female,computer science,Jaunpur,8.78,83.4,9,1,75,6.2,No,No,3,566656,No
STU0053,Student 53,2026-05-26,Male,ece,Jaunpur,7.54,84.3,4,1,283,6.4,Yes,No,3,150000,Yes
STU0054,Student 54,2026-06-27,Female,i.t.,Noida,7.70,82.7,4,0,344,5.1,No,No,3,525859,No
STU0055,Student 55,2026-07-01,Male,it,Gorakhpur,8.22,76.5,6,3,55,8.0,No,No,3,711828,Yes
STU0056,Student 56,2026-08-02,Male,civil,Noida,7.56,71.8,5,2,337,5.8,No,No,4,458815,Yes
STU0057,Student 57,2026-01-03,Female,computer science,Lucknow,6.79,86.6,7,1,119,3.0,Yes,No,1,475896,Yes
STU0058,Student 58,2026-02-04,Female,mechanical,Gorakhpur,7.65,84.6,2,3,305,8.1,Yes,No,0,433858,Yes
STU0059,Student 59,2026-03-05,Male,ece,Varanasi,7.95,62.6,8,2,76,5.0,No,No,6,582965,Yes
STU0060,Student 60,2026-04-06,Female,ece,Kanpur,7.03,96.4,5,2,51,6.8,No,Yes,2,199585,Yes
STU0061,Student 61,2026-05-07,Male,ece,Noida,6.55,96.1,7,1,187,6.2,No,Yes,2,418860,No
STU0062,Student 62,2026-06-08,Female,mech,Prayagraj,6.48,93.2,9,3,253,7.1,No,No,4,877227,Yes
STU0063,Student 63,2026-07-09,Male,mechanical,Lucknow,7.29,91.9,5,1,234,6.0,No,No,0,490565,Yes
STU0064,Student 64,2026-08-10,Male,cse,Varanasi,4.89,63.5,6,1,160,8.3,Yes,No,3,150000,No
STU0065,Student 65,2026-01-11,Female,computer science,Jaunpur,6.78,90.3,8,2,112,7.3,Yes,No,3,470082,Yes
STU0066,Student 66,2026-02-12,Male,cse,Kanpur,6.25,100.0,10,0,136,3.9,No,No,4,630566,Yes
STU0067,Student 67,2026-03-13,Male,electronics,Prayagraj,7.90,75.9,3,2,163,8.8,No,No,0,975434,Yes
STU0068,Student 68,2026-04-14,Female,it,Prayagraj,8.83,61.2,4,1,167,4.8,Yes,No,0,1051959,Yes
STU0069,Student 69,2026-05-15,Male,CSE,Jaunpur,6.42,38.9,3,1,36,8.4,No,No,2,665269,No
STU0070,Student 70,2026-06-16,Female,computer science,Kanpur,7.82,68.3,4,3,219,4.6,Yes,No,1,830935,Yes
STU0071,Student 71,2026-07-17,Female,i.t.,Noida,7.27,70.2,3,2,362,4.6,No,No,2,932722,No
STU0072,Student 72,2026-08-18,Male,civil,Noida,8.08,69.7,6,4,364,8.6,Yes,No,1,418055,Yes
STU0073,Student 73,2026-01-19,Male,cse,Lucknow,4.81,47.8,8,0,210,3.6,No,No,2,463193,No
STU0074,Student 74,2026-02-20,Female,CSE,Gorakhpur,"5,47",66.7,4,3,253,7.4,No,No,3,290399,No
STU0075,Student 75,2026-03-21,Male,it,Prayagraj,9.22,73.2,7,2,112,6.0,No,Yes,2,522761,Yes
STU0076,Student 76,2026-04-22,Male,CSE,Delhi,8.16,79.8,7,1,258,10.0,No,No,1,434122,No
STU0077,Student 77,2026-05-23,Female,cse,Varanasi,8.21,74.5,6,2,266,9.4,Yes,No,4,168693,Yes
STU0078,Student 78,2026-06-24,Female,electronics,Lucknow,5.96,94.6,9,5,223,7.0,No,No,4,164538,Yes
STU0079,Student 79,2026-07-25,Female,cse,Kanpur,6.19,66.6,9,0,235,2.6,No,Yes,4,505104,No
STU0080,Student 80,2026-08-26,Female,computer science,Kanpur,7.48,85.1,6,2,0,8.3,Yes,Yes,3,502210,Yes
STU0081,Student 81,2026-01-27,Female,it,Varanasi,6.20,87.5,8,3,75,3.1,No,No,4,629330,No
STU0082,Student 82,2026-02-01,Female,electrical,Prayagraj,7.52,100.0,9,2,241,5.8,No,No,4,761851,Yes
STU0083,Student 83,2026-03-02,Female,ece,Prayagraj,7.24,58.0,3,2,315,6.0,No,No,1,229429,Yes
STU0084,Student 84,2026-04-03,Female,i.t.,Lucknow,7.82,77.6,7,2,15,6.6,Yes,No,1,314225,Yes
STU0085,Student 85,2026-05-04,Male,mech,Kanpur,7.98,59.5,5,1,219,5.6,Yes,No,2,564940,Yes
STU0086,Student 86,2026-06-05,Female,mechanical,Lucknow,5.35,78.9,5,7,309,8.2,Yes,No,3,293737,Yes
STU0087,Student 87,2026-07-06,Male,mech,Delhi,6.18,97.2,6,2,343,5.6,Yes,No,1,205247,No
STU0088,Student 88,2026-08-07,Female,mech,Noida,5.69,67.2,5,2,132,6.3,No,No,1,294035,No
STU0089,Student 89,2026-01-08,Female,ece,Prayagraj,6.96,80.8,6,2,303,2.0,Yes,Yes,2,523739,No
STU0090,Student 90,2026-02-09,Male,CSE,Varanasi,6.12,69.6,3,5,208,8.8,No,No,1,237211,No
STU0091,Student 91,2026-03-10,Male,it,Varanasi,6.96,70.6,7,1,189,4.8,Yes,Yes,2,677028,No
STU0092,Student 92,2026-04-11,Female,computer science,Varanasi,7.41,91.8,2,1,309,3.8,No,No,3,764240,No
STU0093,Student 93,2026-05-12,Female,electrical,Delhi,4.54,85.1,3,3,96,5.1,Yes,No,2,635464,No
STU0094,Student 94,2026-06-13,Female,mech,Gorakhpur,9.83,60.6,6,2,206,6.0,Yes,No,4,194688,Yes
STU0095,Student 95,2026-07-14,Female,mech,Gorakhpur,5.55,61.6,5,1,256,5.0,Yes,No,1,204043,No
STU0096,Student 96,2026-08-15,Male,electrical,Gorakhpur,5.83,81.7,5,1,204,4.0,No,No,4,775482,No
STU0097,Student 97,2026-01-16,Male,i.t.,Gorakhpur,7.08,61.8,6,2,19,7.9,Yes,Yes,1,571472,No
STU0098,Student 98,2026-02-17,Female,computer science,Jaunpur,7.24,74.7,6,3,15,5.7,No,No,1,661448,No
STU0099,Student 99,2026-03-18,Female,mechanical,Gorakhpur,7.55,69.1,8,3,311,7.1,No,No,2,378926,Yes
STU0100,Student 100,2026-04-19,Male,mech,Noida,7.04,59.0,8,2,142,5.2,No,No,4,303285,Yes
STU0101,Student 101,2026-05-20,Male,electronics,Prayagraj,6.12,85.6,9,2,301,3.0,Yes,No,2,477992,No
STU0102,Student 102,2026-06-21,Male,civil,Varanasi,7.16,82.2,6,2,237,6.0,No,No,2,548434,Yes
STU0103,Student 103,2026-07-22,Female,civil,Delhi,7.73,72.3,2,2,74,7.2,No,No,4,641215,No
STU0104,Student 104,2026-08-23,Female,electronics,Prayagraj,6.92,96.7,4,1,285,3.3,No,Yes,2,695503,No
STU0105,Student 105,2026-01-24,Female,it,Prayagraj,7.72,66.3,6,2,258,4.0,Yes,No,1,504012,Yes
STU0106,Student 106,2026-02-25,Male,electrical,Varanasi,8.16,68.1,5,3,397,8.6,Yes,Yes,2,150000,Yes
STU0107,Student 107,2026-03-26,Female,mech,Kanpur,7.80,90.3,5,2,110,3.2,Yes,Yes,4,686203,Yes
STU0108,Student 108,2026-04-27,Female,mechanical,Jaunpur,6.68,82.1,5,1,0,8.1,No,No,2,309377,No
STU0109,Student 109,2026-05-01,Female,ece,Prayagraj,5.89,67.8,4,1,0,5.3,No,No,2,294374,No
STU0110,Student 110,2026-06-02,Female,ece,Gorakhpur,7.30,58.8,2,1,89,4.4,Yes,No,2,406128,No
STU0111,Student 111,2026-07-03,Male,ece,Jaunpur,"6,88",67.8,7,1,151,4.7,Yes,No,1,725239,Yes
STU0112,Student 112,2026-08-04,Female,ece,Delhi,9.07,57.2,8,0,206,8.8,No,No,4,593643,Yes
STU0113,Student 113,2026-01-05,Female,computer science,Delhi,7.80,79.2,8,3,116,10.0,Yes,No,1,240945,Yes
STU0114,Student 114,2026-02-06,Female,cse,Noida,8.51,84.8,4,2,199,5.9,Yes,No,4,256635,Yes
STU0115,Student 115,2026-03-07,Male,mechanical,Jaunpur,6.67,94.3,5,1,193,7.3,No,Yes,2,695208,Yes
STU0116,Student 116,2026-04-08,Male,eee,Lucknow,6.11,85.2,7,2,33,8.1,Yes,No,3,417401,No
STU0117,Student 117,2026-05-09,Male,i.t.,Kanpur,7.62,71.7,6,1,243,5.6,Yes,Yes,1,562429,No
STU0118,Student 118,2026-06-10,Male,ece,Noida,4.83,63.2,7,0,41,6.3,No,No,3,592922,No
STU0119,Student 119,2026-07-11,Male,ece,Delhi,8.06,88.2,5,0,365,6.5,Yes,No,0,488471,Yes
STU0120,Student 120,2026-08-12,Female,electronics,Jaunpur,6.32,79.0,7,0,289,6.4,Yes,No,4,559727,Yes
STU0121,Student 121,2026-01-13,Male,electronics,Delhi,9.63,68.7,7,6,209,7.5,No,No,2,636732,Yes
STU0122,Student 122,2026-02-14,Male,i.t.,Kanpur,8.23,70.9,6,2,50,6.4,Yes,No,3,342330,Yes
STU0123,Student 123,2026-03-15,Female,civil,Gorakhpur,9.90,52.1,5,2,144,3.8,No,No,1,682661,Yes
STU0124,Student 124,2026-04-16,Male,eee,Prayagraj,5.15,62.0,3,2,421,7.0,Yes,Yes,2,150000,No
STU0125,Student 125,2026-05-17,Male,i.t.,Varanasi,6.61,73.5,6,5,127,7.4,No,No,1,553057,Yes
STU0126,Student 126,2026-06-18,Male,cse,Prayagraj,5.57,77.3,5,3,198,7.0,No,No,1,266880,Yes
STU0127,Student 127,2026-07-19,Female,computer science,Noida,7.10,63.4,6,4,105,3.2,Yes,Yes,5,289860,Yes
STU0128,Student 128,2026-08-20,Female,it,Kanpur,7.81,42.7,5,1,237,7.4,Yes,No,2,310101,Yes
STU0129,Student 129,2026-01-21,Male,it,Noida,5.79,100.0,5,2,312,6.5,No,No,3,648265,Yes
STU0130,Student 130,2026-02-22,Female,civil,Lucknow,8.48,89.0,10,1,143,5.1,No,Yes,4,834026,No
STU0131,Student 131,2026-03-23,Female,cse,Lucknow,7.26,82.9,7,1,448,5.5,No,No,1,150000,No
STU0132,Student 132,2026-04-24,Male,CSE,Kanpur,7.39,90.0,4,1,175,5.1,No,No,0,780889,No
STU0133,Student 133,2026-05-25,Male,mech,Jaunpur,6.99,87.4,4,1,360,7.3,No,No,4,621277,No
STU0134,Student 134,2026-06-26,Male,electronics,Prayagraj,6.10,71.1,7,1,314,5.3,Yes,No,1,524748,No
STU0135,Student 135,2026-07-27,Female,electrical,Delhi,6.43,76.6,6,4,106,3.1,No,No,3,617935,No
STU0136,Student 136,2026-08-01,Male,cse,Delhi,7.00,67.0,7,5,76,3.0,Yes,No,2,896649,No
STU0137,Student 137,2026-01-02,Female,mech,Noida,6.38,67.2,7,4,192,8.0,Yes,No,2,776067,Yes
STU0138,Student 138,2026-02-03,Female,mechanical,Jaunpur,6.15,62.2,7,0,164,6.1,No,No,3,449222,No
STU0139,Student 139,2026-03-04,Female,it,Jaunpur,7.80,64.4,5,3,0,3.7,No,Yes,2,453088,No
STU0140,Student 140,2026-04-05,Male,mech,Prayagraj,6.69,69.9,7,6,397,4.4,No,No,0,524849,Yes
STU0141,Student 141,2026-05-06,Female,i.t.,Jaunpur,7.45,76.0,8,1,88,8.0,No,No,3,604760,Yes
STU0142,Student 142,2026-06-07,Male,mech,Kanpur,8.21,97.3,7,2,384,6.4,No,Yes,5,942104,No
STU0143,Student 143,2026-07-08,Male,cse,Prayagraj,7.12,70.8,8,1,245,6.4,No,No,1,359624,No
STU0144,Student 144,2026-08-09,Male,civil,Gorakhpur,7.73,81.7,6,2,142,9.6,Yes,No,5,150000,Yes
STU0145,Student 145,2026-01-10,Female,mech,Gorakhpur,7.25,94.6,10,4,236,10.0,Yes,No,4,828587,Yes
STU0146,Student 146,2026-02-11,Female,electrical,Prayagraj,7.10,80.8,7,4,80,9.9,No,No,4,778423,No
STU0147,Student 147,2026-03-12,Female,i.t.,Gorakhpur,8.50,63.4,4,1,20,3.0,No,No,3,754683,No
STU0148,Student 148,2026-04-13,Male,cse,Lucknow,"6,45",97.5,7,3,81,5.9,No,No,4,815633,Yes
STU0149,Student 149,2026-05-14,Female,mechanical,Jaunpur,7.85,74.8,4,3,118,6.5,No,No,1,833049,No
STU0150,Student 150,2026-06-15,Female,electronics,Gorakhpur,7.49,62.7,6,3,8,5.2,Yes,No,1,405736,Yes
STU0151,Student 151,2026-07-16,Female,it,Kanpur,6.94,81.1,9,1,234,8.2,No,No,2,163575,Yes
STU0152,Student 152,2026-08-17,Male,cse,Prayagraj,5.79,61.6,6,6,282,4.0,Yes,No,4,525062,Yes
STU0153,Student 153,2026-01-18,Male,mech,Kanpur,7.04,76.9,6,1,49,6.3,Yes,Yes,5,271825,No
STU0154,Student 154,2026-02-19,Male,mech,Jaunpur,6.69,75.6,5,4,257,4.5,Yes,No,2,513309,Yes
STU0155,Student 155,2026-03-20,Male,cse,Noida,7.33,91.1,4,3,96,3.1,No,No,3,731657,No
STU0156,Student 156,2026-04-21,Female,mech,Prayagraj,6.93,73.7,5,1,124,6.8,No,No,2,634649,No
STU0157,Student 157,2026-05-22,Female,i.t.,Lucknow,6.71,96.7,6,4,247,5.5,Yes,Yes,1,742341,No
STU0158,Student 158,2026-06-23,Male,CSE,Delhi,9.10,49.2,7,1,103,5.3,Yes,No,0,432243,No
STU0159,Student 159,2026-07-24,Male,it,Noida,5.51,80.2,8,0,181,5.8,No,No,2,765748,No
STU0160,Student 160,2026-08-25,Female,electronics,Noida,7.08,83.8,7,4,267,4.8,No,Yes,3,864802,Yes
STU0161,Student 161,2026-01-26,Male,electrical,Jaunpur,7.13,77.8,6,0,3,7.1,No,No,3,564209,No
STU0162,Student 162,2026-02-27,Female,electrical,Lucknow,6.02,49.5,6,3,227,6.6,Yes,No,4,462617,Yes
STU0163,Student 163,2026-03-01,Female,computer science,Kanpur,6.47,66.7,4,2,277,5.0,No,Yes,2,801369,No
STU0164,Student 164,2026-04-02,Male,CSE,Prayagraj,6.67,100.0,6,2,369,9.3,Yes,Yes,2,408219,Yes
STU0165,Student 165,2026-05-03,Female,electronics,Jaunpur,5.71,71.6,5,1,306,4.6,Yes,No,1,384840,Yes
STU0166,Student 166,2026-06-04,Female,mech,Jaunpur,6.88,74.2,7,4,270,5.5,No,No,2,590560,Yes
STU0167,Student 167,2026-07-05,Female,i.t.,Noida,6.39,76.4,3,3,303,5.9,Yes,No,5,415778,Yes
STU0168,Student 168,2026-08-06,Female,ece,Delhi,6.98,79.6,4,2,370,6.4,No,No,2,443212,Yes
STU0169,Student 169,2026-01-07,Male,electrical,Delhi,6.83,93.5,8,5,147,7.3,Yes,No,3,411188,Yes
STU0170,Student 170,2026-02-08,Male,i.t.,Jaunpur,6.62,47.4,4,1,88,5.7,Yes,Yes,5,279508,No
STU0171,Student 171,2026-03-09,Male,civil,Lucknow,7.09,64.3,6,2,120,6.4,Yes,Yes,2,769088,No
STU0172,Student 172,2026-04-10,Male,it,Varanasi,6.70,60.1,5,1,142,8.1,No,No,0,486185,No
STU0173,Student 173,2026-05-11,Female,CSE,Noida,6.27,88.0,7,3,178,2.9,Yes,Yes,1,600481,No
STU0174,Student 174,2026-06-12,Female,ece,Lucknow,5.92,63.3,7,3,85,9.3,No,No,4,721859,Yes
STU0175,Student 175,2026-07-13,Male,electronics,Kanpur,7.34,57.9,5,0,325,8.9,No,Yes,1,516289,No
STU0176,Student 176,2026-08-14,Female,CSE,Prayagraj,7.40,85.6,7,2,229,4.7,No,No,1,412807,Yes
STU0177,Student 177,2026-01-15,Female,i.t.,Varanasi,7.79,100.0,6,2,210,5.3,Yes,No,2,609506,Yes
STU0178,Student 178,2026-02-16,Female,it,Prayagraj,6.53,65.1,10,1,96,5.9,No,No,3,413678,Yes
STU0179,Student 179,2026-03-17,Female,electronics,Lucknow,8.27,76.6,8,3,225,4.2,Yes,No,1,249052,Yes
STU0180,Student 180,2026-04-18,Male,cse,Noida,5.70,56.1,5,2,307,3.7,No,No,4,644372,Yes
STU0181,Student 181,2026-05-19,Male,it,Delhi,6.60,76.6,6,1,302,6.8,No,No,5,606118,Yes
STU0182,Student 182,2026-06-20,Male,ece,Lucknow,7.88,55.7,5,1,284,5.1,No,No,1,296649,Yes
STU0183,Student 183,2026-07-21,Female,it,Lucknow,7.73,80.7,5,4,11,7.7,Yes,Yes,2,475765,Yes
STU0184,Student 184,2026-08-22,Male,mechanical,Kanpur,8.97,69.1,7,0,175,5.4,No,No,2,150000,Yes
STU0185,Student 185,2026-01-23,Male,ece,Lucknow,"6,76",100.0,8,2,301,3.6,Yes,No,2,441155,Yes
STU0186,Student 186,2026-02-24,Male,mechanical,Jaunpur,7.69,75.1,5,0,246,9.7,No,No,4,452341,Yes
STU0187,Student 187,2026-03-25,Male,it,Gorakhpur,8.40,88.1,6,2,0,5.4,No,Yes,6,542370,No
STU0188,Student 188,2026-04-26,Male,civil,Varanasi,6.89,72.5,7,3,382,7.4,Yes,No,1,668647,No
STU0189,Student 189,2026-05-27,Female,civil,Noida,6.31,71.2,1,1,117,4.2,Yes,Yes,2,656851,No
STU0190,Student 190,2026-06-01,Female,computer science,Lucknow,7.53,77.7,6,3,107,7.1,No,No,1,621474,Yes
STU0191,Student 191,2026-07-02,Male,cse,Noida,7.17,69.0,3,1,0,4.6,No,No,3,441245,No
STU0192,Student 192,2026-08-03,Male,it,Noida,8.36,54.8,4,4,175,2.0,No,Yes,5,820246,No
STU0193,Student 193,2026-01-04,Female,electrical,Delhi,9.90,81.3,7,7,243,4.8,No,No,2,564075,Yes
STU0194,Student 194,2026-02-05,Female,civil,Varanasi,6.74,89.7,5,0,0,7.3,No,No,2,342504,No
STU0195,Student 195,2026-03-06,Female,mechanical,Noida,5.75,56.7,7,2,350,7.7,Yes,No,4,500979,Yes
STU0196,Student 196,2026-04-07,Male,cse,Gorakhpur,8.18,89.6,9,3,190,5.6,Yes,No,3,770764,Yes
STU0197,Student 197,2026-05-08,Female,mech,Prayagraj,8.65,84.9,4,3,245,4.1,No,Yes,0,786659,Yes
STU0198,Student 198,2026-06-09,Male,electrical,Lucknow,7.13,76.2,8,1,142,3.1,Yes,Yes,4,508913,Yes
STU0199,Student 199,2026-07-10,Female,it,Lucknow,8.23,71.3,8,6,372,7.9,No,No,1,777438,Yes
STU0200,Student 200,2026-08-11,Female,electronics,Kanpur,6.97,81.7,7,1,193,3.7,Yes,No,2,657933,Yes
STU0201,Student 201,2026-01-12,Female,cse,Kanpur,7.12,67.5,2,4,426,6.1,Yes,No,2,374075,No
STU0202,Student 202,2026-02-13,Male,i.t.,Lucknow,9.18,82.3,5,2,0,8.5,Yes,No,3,187489,Yes
STU0203,Student 203,2026-03-14,Male,mech,Gorakhpur,6.36,67.9,5,2,283,8.1,Yes,Yes,3,781456,No
STU0204,Student 204,2026-04-15,Male,electronics,Jaunpur,6.18,93.2,7,5,148,8.4,No,No,5,863080,No
STU0205,Student 205,2026-05-16,Male,it,Noida,7.48,87.9,8,2,409,4.4,Yes,No,1,619244,Yes
STU0206,Student 206,2026-06-17,Female,computer science,Jaunpur,5.99,51.7,6,2,0,3.6,Yes,No,0,398873,No
STU0207,Student 207,2026-07-18,Male,eee,Lucknow,6.71,61.3,7,4,169,2.5,Yes,No,5,353863,Yes
STU0208,Student 208,2026-08-19,Female,electrical,Lucknow,6.94,73.5,7,4,189,4.6,Yes,Yes,0,650165,No
STU0209,Student 209,2026-01-20,Female,civil,Lucknow,8.20,74.6,9,0,255,6.5,No,No,5,889778,Yes
STU0210,Student 210,2026-02-21,Female,computer science,Lucknow,6.37,52.1,7,3,92,8.3,Yes,No,3,506257,No
STU0211,Student 211,2026-03-22,Female,CSE,Delhi,8.04,80.2,7,2,233,7.7,No,Yes,1,670139,No
STU0212,Student 212,2026-04-23,Male,electronics,Lucknow,7.71,75.0,2,2,342,9.3,No,No,0,941869,Yes
STU0213,Student 213,2026-05-24,Male,electrical,Kanpur,7.99,55.3,6,4,90,5.6,No,No,2,528250,Yes
STU0214,Student 214,2026-06-25,Female,electrical,Jaunpur,6.62,72.6,8,5,327,5.9,Yes,No,3,302450,Yes
STU0215,Student 215,2026-07-26,Male,civil,Delhi,8.77,79.9,7,2,14,5.8,Yes,No,2,1152690,Yes
STU0216,Student 216,2026-08-27,Male,civil,Varanasi,6.38,57.0,6,2,181,5.3,No,No,2,172533,No
STU0217,Student 217,2026-01-01,Female,computer science,Delhi,7.82,76.2,4,1,26,6.7,No,Yes,2,859455,Yes
STU0218,Student 218,2026-02-02,Male,mechanical,Delhi,7.26,62.3,5,0,92,3.8,Yes,No,0,688048,No
STU0219,Student 219,2026-03-03,Male,civil,Gorakhpur,7.55,85.0,8,1,0,10.0,Yes,Yes,3,445335,Yes
STU0220,Student 220,2026-04-04,Female,mech,Varanasi,6.85,66.9,7,2,47,7.2,Yes,No,1,234471,Yes
STU0221,Student 221,2026-05-05,Male,mechanical,Prayagraj,8.41,81.6,7,3,193,5.5,Yes,No,4,537800,Yes
STU0222,Student 222,2026-06-06,Female,mech,Noida,"7,13",70.3,6,5,340,6.9,No,No,4,205984,Yes
STU0223,Student 223,2026-07-07,Female,electrical,Jaunpur,7.53,80.4,6,1,219,5.5,No,No,1,302726,No
STU0224,Student 224,2026-08-08,Female,computer science,Lucknow,7.51,61.5,6,1,98,7.8,No,No,1,746948,No
STU0225,Student 225,2026-01-09,Male,electrical,Kanpur,6.85,82.6,5,2,262,9.1,No,No,4,629598,No
STU0226,Student 226,2026-02-10,Female,civil,Lucknow,6.14,67.0,7,3,250,7.1,No,No,4,516742,No
